tick_number,timestamp,total_tick_time_ms
1,1741199724787,46.96
2,1741199725299,58.48
3,1741199725773,31.93
4,1741199726306,62.94
5,1741199726787,42.60
6,1741199727285,40.20
7,1741199727791,45.25
8,1741199728287,41.25
9,1741199728829,82.11
10,1741199729299,52.46
11,1741199729803,54.80
12,1741199730348,99.13
13,1741199730820,71.07
14,1741199731321,71.95
15,1741199731848,98.19
16,1741199732317,66.19
17,1741199733095,345.74
18,1741199733350,97.01
19,1741199733918,165.22
20,1741199734368,114.76
21,1741199734856,101.25
22,1741199735344,90.15
23,1741199735833,78.02
24,1741199736411,155.09
25,1741199737028,271.75
26,1741199737386,128.79
27,1741199737925,167.36
28,1741199738386,127.81
29,1741199738887,129.14
30,1741199739397,138.84
31,1741199739852,93.36
32,1741199740395,136.34
33,1741199740847,87.26
34,1741199741348,88.43
35,1741199741936,176.19
36,1741199742575,313.50
37,1741199743028,265.91
38,1741199743534,269.75
39,1741199743989,224.22
40,1741199744503,239.37
41,1741199745152,360.47
42,1741199745902,608.39
43,1741199746299,396.32
44,1741199746708,304.06
45,1741199747353,447.02
46,1741199747925,517.86
47,1741199748459,533.83
48,1741199748840,380.73
49,1741199749358,398.63
50,1741199749800,341.02
51,1741199750182,221.80
52,1741199750755,294.97
53,1741199751169,208.18
54,1741199751687,226.14
55,1741199752262,301.51
56,1741199752789,327.50
57,1741199753174,212.12
58,1741199753829,366.10
59,1741199754282,318.68
60,1741199754790,319.72
61,1741199755157,184.30
62,1741199755719,245.53
63,1741199756319,345.71
64,1741199756719,246.15
65,1741199757198,224.13
66,1741199758122,647.20
67,1741199758673,549.13
68,1741199759241,568.30
69,1741199759598,356.45
70,1741199760083,340.97
71,1741199760681,417.14
72,1741199761327,562.47
73,1741199761724,396.80
74,1741199762062,232.74
75,1741199762599,269.44
76,1741199763038,208.13
77,1741199763525,193.56
78,1741199764073,241.35
79,1741199764644,312.15
80,1741199765264,431.72
81,1741199765721,386.97
82,1741199766312,476.22
83,1741199766649,313.20
84,1741199767144,306.63
85,1741199767682,344.94
86,1741199768101,263.61
87,1741199768918,581.68
88,1741199769646,723.06
89,1741199770038,389.22
90,1741199770614,464.67
91,1741199771114,465.81
92,1741199771675,525.91
93,1741199772424,745.14
94,1741199773185,756.04
95,1741199773872,606.27
96,1741199774694,779.76
97,1741199775656,960.99
98,1741199776768,1111.65
99,1741199778553,1784.32
100,1741199780016,1462.18
101,1741199781600,1583.73
102,1741199782955,1353.13
103,1741199784387,1432.18
104,1741199785920,1511.47
105,1741199787868,1944.16
106,1741199789928,2059.50
107,1741199791501,1572.91
108,1741199793531,1685.76
109,1741199794802,1243.97
110,1741199796160,1233.94
111,1741199797579,1351.49
112,1741199799187,1608.04
113,1741199801401,2213.06
114,1741199802751,1336.41
115,1741199803905,1153.26
116,1741199804487,581.88
117,1741199804924,436.14
118,1741199805402,412.33
119,1741199806340,850.36
120,1741199807227,796.56
121,1741199807695,417.12
122,1741199808153,374.54
123,1741199808625,339.94
124,1741199809131,344.47
125,1741199809653,365.45
126,1741199810170,380.05
127,1741199810597,307.15
128,1741199811093,303.69
129,1741199811645,355.40
130,1741199812320,517.32
131,1741199812804,483.28
132,1741199813093,271.00
133,1741199813596,274.13
134,1741199814148,325.94
135,1741199814689,366.01
136,1741199815137,314.29
137,1741199815633,309.31
138,1741199816082,258.06
139,1741199816771,447.55
140,1741199817230,405.20
141,1741199817679,353.79
142,1741199818155,329.92
143,1741199818653,327.41
144,1741199819104,278.84
145,1741199819796,470.25
146,1741199820290,463.20
147,1741199820685,359.05
148,1741199821178,350.72
149,1741199821629,300.40
150,1741199822607,682.89
151,1741199823039,403.10
152,1741199823471,334.42
153,1741199823956,318.40
154,1741199824428,290.41
155,1741199825047,408.54
156,1741199825926,787.93
157,1741199826358,413.82
158,1741199827028,583.17
159,1741199827541,511.28
160,1741199827905,363.94
161,1741199828320,278.84
162,1741199829005,463.74
163,1741199829456,414.02
164,1741199830282,739.73
165,1741199831106,824.06
166,1741199831725,617.80
167,1741199832524,799.06
168,1741199833351,826.11
169,1741199834593,1240.06
170,1741199836360,1766.91
171,1741199838068,1297.85
172,1741199839101,1032.92
173,1741199839766,658.86
174,1741199840188,388.21
175,1741199840804,502.77
176,1741199841125,318.55
177,1741199841653,341.25
178,1741199842156,341.82
179,1741199842782,468.10
180,1741199843126,311.20
181,1741199843665,349.35
182,1741199844132,294.39
183,1741199844615,276.69
184,1741199845189,349.40
185,1741199846176,834.01
186,1741199847224,1047.99
187,1741199847618,392.44
188,1741199848061,335.09
189,1741199848498,270.20
190,1741199849580,852.47
191,1741199850104,520.58
192,1741199850417,312.14
193,1741199851015,408.16
194,1741199851390,282.67
195,1741199851891,284.83
196,1741199852467,360.01
197,1741199852897,285.91
198,1741199853359,247.65
199,1741199853857,246.45
200,1741199854344,230.23
201,1741199854928,314.66
202,1741199855373,259.18
203,1741199855902,286.51
204,1741199856368,250.02
205,1741199856899,280.64
206,1741199857466,345.63
207,1741199857863,242.50
208,1741199858626,500.83
209,1741199859560,629.60
210,1741199861264,1391.47
1,1741199872310,49.65
2,1741199872888,126.81
3,1741199873314,52.86
4,1741199873829,67.86
5,1741199874312,50.51
6,1741199874870,107.97
7,1741199875354,92.13
8,1741199875963,200.51
9,1741199876686,423.12
10,1741199876924,161.41
11,1741199877423,159.27
12,1741199877898,133.86
13,1741199878512,246.72
14,1741199878903,136.93
15,1741199879723,457.02
16,1741199880203,431.97
17,1741199880663,377.07
18,1741199881005,217.76
19,1741199881451,163.78
20,1741199881949,159.99
21,1741199882584,294.76
22,1741199883268,477.93
23,1741199883625,334.52
24,1741199884113,322.42
25,1741199884742,450.74
26,1741199885591,798.19
27,1741199886234,642.32
28,1741199886756,521.47
29,1741199887264,507.86
30,1741199887750,469.79
31,1741199888369,589.23
32,1741199889088,718.14
33,1741199889711,621.78
34,1741199890295,565.89
35,1741199890831,535.31
36,1741199891437,605.18
37,1741199892039,602.13
38,1741199892618,578.02
39,1741199893262,643.25
40,1741199893831,543.44
41,1741199894367,535.28
42,1741199894902,534.53
43,1741199895758,856.07
44,1741199896315,526.04
45,1741199896871,555.81
46,1741199897507,634.58
47,1741199898079,571.48
48,1741199899075,970.64
49,1741199900114,1038.67
50,1741199901360,1244.62
51,1741199902379,986.56
52,1741199903004,624.61
53,1741199903768,762.78
54,1741199904451,682.07
55,1741199905149,697.33
56,1741199905986,832.05
57,1741199906667,680.45
58,1741199907537,869.35
59,1741199908423,885.94
60,1741199909260,836.03
61,1741199909944,683.51
62,1741199911130,1164.58
63,1741199912032,901.03
64,1741199912949,916.47
65,1741199913789,839.57
66,1741199914689,899.47
67,1741199915323,633.40
68,1741199916070,747.24
69,1741199916722,650.46
70,1741199917551,828.22
71,1741199918242,690.20
72,1741199919064,789.11
73,1741199920087,1008.43
74,1741199921171,1075.92
75,1741199921947,759.69
76,1741199922687,740.24
77,1741199923416,700.22
